"","species_name","range_size","aoo","sexual_system"
"1","Abarema cochliacarpos",2,5000,NA
"2","Abarema diamantina",NA,NA,NA
"3","Abarema levelii",NA,NA,NA
"4","Abatia parviflora",18,35000,NA
"5","Abdra aprica",6,12500,NA
"6","Abdra brachycarpa",85,230000,NA
"7","Abeliophyllum distichum",15,35000,NA
"8","Abelmoschus esculentus",1022,2532500,"hermaphroditism"
"9","Abelmoschus manihot",187,437500,"hermaphroditism"
"10","Abelmoschus moschatus",214,512500,"hermaphroditism"
"11","Abobra tenuifolia",9,20000,NA
"12","Abroma augustum",66,160000,NA
"13","Abrus aureus",6,15000,NA
"14","Abrus canescens",41,1e+05,NA
"15","Abrus fruticulosus",62,140000,NA
"16","Abrus laevigatus",22,47500,NA
"17","Abrus madagascariensis",NA,NA,NA
"18","Abrus parvifolius",NA,NA,NA
"19","Abrus precatorius",769,1937500,"hermaphroditism"
"20","Abrus sambiranensis",NA,NA,NA
"21","Abutilon abutiloides",79,180000,"hermaphroditism"
"22","Abutilon andrewsianum",NA,NA,NA
"23","Abutilon angulatum",60,132500,"hermaphroditism"
"24","Abutilon eremitopetalum",NA,NA,"hermaphroditism"
"25","Abutilon fruticosum",192,485000,"hermaphroditism"
"26","Abutilon grandifolium",199,492500,"hermaphroditism"
"27","Abutilon incanum",61,160000,"hermaphroditism"
"28","Abutilon indicum",224,560000,"hermaphroditism"
"29","Abutilon malacum",44,90000,"hermaphroditism"
"30","Abutilon menziesii",6,12500,"hermaphroditism"
"31","Abutilon sandwicense",NA,NA,"hermaphroditism"
"32","Abutilon theophrasti",2824,8020000,"hermaphroditism"
"33","Acacia abbatiana",NA,NA,NA
"34","Acacia abbreviata",1,2500,NA
"35","Acacia acanthaster",NA,NA,NA
"36","Acacia acanthoclada",19,50000,NA
"37","Acacia acellerata",NA,NA,NA
"38","Acacia acinacea",155,432500,NA
"39","Acacia aciphylla",2,5000,NA
"40","Acacia acoma",2,5000,NA
"41","Acacia acradenia",40,97500,NA
"42","Acacia acrionastes",5,12500,NA
"43","Acacia acuaria",21,50000,NA
"44","Acacia aculeatissima",49,135000,NA
"45","Acacia aculeiformis",NA,NA,NA
"46","Acacia acuminata",77,197500,NA
"47","Acacia acutata",6,10000,NA
"48","Acacia adinophylla",NA,NA,NA
"49","Acacia adnata",NA,NA,NA
"50","Acacia adoxa",8,17500,NA
"51","Acacia adsurgens",62,147500,NA
"52","Acacia adunca",12,27500,NA
"53","Acacia aemula",1,2500,NA
"54","Acacia aestivalis",1,2500,NA
"55","Acacia alata",26,62500,NA
"56","Acacia alcockii",6,12500,NA
"57","Acacia alexandri",NA,NA,NA
"58","Acacia alleniana",52,115000,NA
"59","Acacia alpina",11,25000,NA
"60","Acacia amblygona",59,132500,NA
"61","Acacia amblyophylla",1,2500,NA
"62","Acacia ammobia",3,7500,NA
"63","Acacia ammophila",6,10000,NA
"64","Acacia amoena",30,65000,NA
"65","Acacia ampliceps",10,17500,NA
"66","Acacia amyctica",2,2500,NA
"67","Acacia anarthros",NA,NA,NA
"68","Acacia anasilla",NA,NA,NA
"69","Acacia anastema",2,2500,NA
"70","Acacia anaticeps",NA,NA,NA
"71","Acacia anceps",36,95000,NA
"72","Acacia ancistrocarpa",66,157500,NA
"73","Acacia ancistrophylla",8,20000,NA
"74","Acacia andrewsii",28,65000,NA
"75","Acacia aneura",443,1107500,NA
"76","Acacia anfractuosa",2,5000,NA
"77","Acacia angusta",3,7500,NA
"78","Acacia anthochaera",9,20000,NA
"79","Acacia aphanoclada",NA,NA,NA
"80","Acacia aphylla",8,15000,NA
"81","Acacia applanata",19,42500,NA
"82","Acacia aprepta",4,10000,NA
"83","Acacia aprica",NA,NA,NA
"84","Acacia aptaneura",58,122500,NA
"85","Acacia araneosa",3,2500,NA
"86","Acacia arcuatilis",NA,NA,NA
"87","Acacia areolata",NA,NA,NA
"88","Acacia argutifolia",1,2500,NA
"89","Acacia argyraea",13,30000,NA
"90","Acacia argyrodendron",6,12500,NA
"91","Acacia argyrophylla",18,42500,NA
"92","Acacia arida",NA,NA,NA
"93","Acacia armitii",1,2500,NA
"94","Acacia arrecta",NA,NA,NA
"95","Acacia ascendens",NA,NA,NA
"96","Acacia ashbyae",NA,NA,NA
"97","Acacia asparagoides",7,12500,NA
"98","Acacia aspera",43,1e+05,NA
"99","Acacia asperulacea",18,37500,NA
"100","Acacia assimilis",9,22500,NA
"101","Acacia ataxiphylla",NA,NA,NA
"102","Acacia atkinsiana",1,2500,NA
"103","Acacia atrox",1,2500,NA
"104","Acacia attenuata",9,20000,NA
"105","Acacia aulacocarpa",104,260000,NA
"106","Acacia aulacophylla",6,15000,NA
"107","Acacia auratiflora",NA,NA,NA
"108","Acacia aureocrinita",6,10000,NA
"109","Acacia auricoma",4,7500,NA
"110","Acacia auriculiformis",453,1090000,"hermaphroditism"
"111","Acacia auronitens",8,15000,NA
"112","Acacia ausfeldii",17,37500,NA
"113","Acacia awestoniana",1,2500,NA
"114","Acacia axillaris",7,15000,NA
"115","Acacia ayersiana",42,105000,NA
"116","Acacia baeuerlenii",12,25000,NA
"117","Acacia baileyana",410,1097500,"hermaphroditism"
"118","Acacia bakeri",20,47500,NA
"119","Acacia balsamea",3,5000,NA
"120","Acacia bancroftiorum",41,105000,NA
"121","Acacia barattensis",3,5000,NA
"122","Acacia barbinervis",5,7500,NA
"123","Acacia barrettiorum",1,2500,NA
"124","Acacia barringtonensis",9,15000,NA
"125","Acacia basedowii",8,20000,NA
"126","Acacia baueri",18,40000,NA
"127","Acacia baxteri",2,2500,NA
"128","Acacia beadleana",2,2500,NA
"129","Acacia beauverdiana",7,17500,NA
"130","Acacia beckleri",19,40000,NA
"131","Acacia betchei",8,15000,NA
"132","Acacia bidentata",15,35000,NA
"133","Acacia bifaria",NA,NA,NA
"134","Acacia biflora",7,12500,NA
"135","Acacia binata",5,7500,NA
"136","Acacia binervata",63,157500,NA
"137","Acacia binervia",59,137500,NA
"138","Acacia bivenosa",52,125000,NA
"139","Acacia blakei",28,65000,NA
"140","Acacia blakelyi",16,30000,NA
"141","Acacia blaxellii",1,2500,NA
"142","Acacia blayana",6,15000,NA
"143","Acacia boormanii",42,1e+05,NA
"144","Acacia botrydion",NA,NA,NA
"145","Acacia brachybotrya",145,370000,NA
"146","Acacia brachyclada",6,15000,NA
"147","Acacia brachyphylla",1,2500,NA
"148","Acacia brachypoda",NA,NA,NA
"149","Acacia brachystachya",95,225000,NA
"150","Acacia bracteolata",NA,NA,NA
"151","Acacia brassii",3,7500,NA
"152","Acacia brockii",9,15000,NA
"153","Acacia bromilowiana",NA,NA,NA
"154","Acacia browniana",15,32500,NA
"155","Acacia brownii",108,267500,NA
"156","Acacia brumalis",2,5000,NA
"157","Acacia brunioides",9,17500,NA
"158","Acacia bulgaensis",3,7500,NA
"159","Acacia burbidgeae",4,5000,NA
"160","Acacia burkittii",133,327500,NA
"161","Acacia burrowii",35,80000,NA
"162","Acacia buxifolia",119,267500,NA
"163","Acacia bynoeana",16,35000,NA
"164","Acacia caerulescens",4,10000,NA
"165","Acacia caesaneura",32,60000,NA
"166","Acacia caesariata",NA,NA,NA
"167","Acacia caesiella",31,67500,NA
"168","Acacia calamifolia",108,267500,NA
"169","Acacia calantha",1,5000,NA
"170","Acacia calcarata",NA,NA,NA
"171","Acacia calcicola",45,102500,NA
"172","Acacia calyculata",21,50000,NA
"173","Acacia cambagei",115,282500,NA
"174","Acacia camptoclada",8,17500,NA
"175","Acacia campylophylla",1,2500,NA
"176","Acacia cana",23,50000,NA
"177","Acacia cangaiensis",3,5000,NA
"178","Acacia cardiophylla",40,92500,NA
"179","Acacia carens",NA,NA,NA
"180","Acacia carneorum",31,67500,NA
"181","Acacia carnosula",NA,NA,NA
"182","Acacia caroleae",37,90000,NA
"183","Acacia cataractae",12,25000,NA
"184","Acacia catenulata",22,55000,NA
"185","Acacia cavealis",1,2500,NA
"186","Acacia cedroides",2,5000,NA
"187","Acacia celastrifolia",13,32500,NA
"188","Acacia celsa",9,15000,NA
"189","Acacia centrinervia",NA,NA,NA
"190","Acacia cerastes",1,2500,NA
"191","Acacia chalkeri",3,5000,NA
"192","Acacia chamaeleon",6,12500,NA
"193","Acacia chapmanii",NA,NA,NA
"194","Acacia chartacea",3,7500,NA
"195","Acacia cheelii",42,1e+05,NA
"196","Acacia chinchillensis",5,7500,NA
"197","Acacia chippendalei",5,10000,NA
"198","Acacia chisholmii",6,15000,NA
"199","Acacia chrysocephala",6,15000,NA
"200","Acacia chrysochaeta",NA,NA,NA
"201","Acacia chrysopoda",1,2500,NA
"202","Acacia chrysotricha",1,2500,NA
"203","Acacia cincinnata",10,17500,NA
"204","Acacia citrinoviridis",16,37500,NA
"205","Acacia clelandii",7,17500,NA
"206","Acacia clunies-rossiae",5,10000,NA
"207","Acacia clydonophora",2,5000,NA
"208","Acacia cochlearis",27,62500,NA
"209","Acacia cochlocarpa",NA,NA,NA
"210","Acacia cognata",44,112500,NA
"211","Acacia colei",63,155000,NA
"212","Acacia comans",1,2500,NA
"213","Acacia complanata",59,135000,NA
"214","Acacia concurrens",62,137500,NA
"215","Acacia conferta",63,145000,NA
